filename,path,status,num_cells_ng,date,crit_sf,crit_tr,local_tr,local_sf,local-ot
BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,1,34,2022-10-20 19:17:38,1.01,1.01,11F-13B-1A-1D-1E-1F-24A-24B-24C-24D-24E-24F,10D-11E-12B-13E-13F-18B-19B-21A-21D-21F-22B-22E-23A-23C-23D-23E-23F-4E-5F-6D-7D-9E,1A-1D-1E-1F-24A-24B-24C-24D-24E-24F
BR220608S10H10YC004388 copy.jpg,images_folder/BR220608S10H10YC004388 copy.jpg,1,34,2022-10-20 19:19:32,1.01,1.01,11F-13B-1A-1D-1E-1F-24A-24B-24C-24D-24E-24F,10D-11E-12B-13E-13F-18B-19B-21A-21D-21F-22B-22E-23A-23C-23D-23E-23F-4E-5F-6D-7D-9E,1A-1D-1E-1F-24A-24B-24C-24D-24E-24F
