local,filename,path,falha,tamanho,tempo
2B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.62
2E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,4.76
2E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.44
4C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.49
5D,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.48
5F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.3
6E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,4.69
8D,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.69
9E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.09
10E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.1
11D,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.37
11F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.25
12B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.83
12B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.11
12B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.64
12E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,7.48
