filename,path,status,num_cells_ng,date,crit_sf,crit_tr,local_tr,local_sf,local_ot,t_detection,t_segmentation,t_vit
BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,1,16,2022-10-24 13:07:42,1.01,1.01,13F,10E-12E-14A-14C-16E-18F-20C-21B-21C-22C-23B-2E-6E-8D-9E,,20.97157382965088,45.49958300590515,16.548912048339844
BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,1,3,2022-10-24 13:17:14,1.01,1.01,,13E-22B-4E,,19.532676935195923,57.15998363494873,14.462307214736938
BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,1,2,2022-10-24 13:19:40,1.04,0.3,,22B-4E,,19.532676935195923,57.15998363494873,14.462307214736938
