local,filename,path,falha,tamanho
2C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,0.72
4E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,2.93
20A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,0.37
20E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,0.27
22B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,1.18
