local,filename,path,falha,tamanho,tempo
1A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,8.08
1B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,11.79
1C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,6.04
1E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,8.04
2A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,9.67
2B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,8.08
2C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,7.1
2D,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,11.01
2E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,7.5
2F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,10.97
3A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,6.4
3C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,8.29
3E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,11.79
4A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,10.74
4B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,6.92
4C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,6.04
