local,filename,path,falha,tamanho
3C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.72
4C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.37
6D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.9
6F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.28
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.38
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,1.07
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.6
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,1.52
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.55
7F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.39
8A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.44
12B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.27
12C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.83
12C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.53
13D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.31
14E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.46
14F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.27
15A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.32
18A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,1.21
20E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.75
21A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.42
22A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,39.53
22A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,1.83
24A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,1.36
24E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.29
