local,filename,path,falha,tamanho,tempo
1A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,7.69,14.53508734703064
1C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.27,14.53508734703064
1D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.85,14.53508734703064
1E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,7.69,14.53508734703064
2A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.85,14.53508734703064
2B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.0,14.53508734703064
2C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.55,14.53508734703064
2E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.27,14.53508734703064
3A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.6,14.53508734703064
3B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.39,14.53508734703064
3C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.85,14.53508734703064
3D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.55,14.53508734703064
3E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.58,14.53508734703064
4A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,7.69,14.53508734703064
4B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.72,14.53508734703064
4D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.81,14.53508734703064
4E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.07,14.53508734703064
4F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.9,14.53508734703064
5A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.5,14.53508734703064
5B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.62,14.53508734703064
5C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.15,14.53508734703064
5D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.71,14.53508734703064
5E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,6.85,14.53508734703064
5F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.0,14.53508734703064
6A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.02,14.53508734703064
6B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.85,14.53508734703064
6C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.55,14.53508734703064
6D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.26,14.53508734703064
6E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.43,14.53508734703064
6F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.25,14.53508734703064
7B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.33,14.53508734703064
7C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,7.05,14.53508734703064
7E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.85,14.53508734703064
7F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.27,14.53508734703064
8B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.39,14.53508734703064
8C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.6,14.53508734703064
8D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.82,14.53508734703064
8E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.39,14.53508734703064
8F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.72,14.53508734703064
9A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.85,14.53508734703064
9C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.55,14.53508734703064
9D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.58,14.53508734703064
9F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.29,14.53508734703064
10A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,7.69,14.53508734703064
10C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,5.62,14.53508734703064
10E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.72,14.53508734703064
10F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.15,14.53508734703064
11A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.33,14.53508734703064
11D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.2,14.53508734703064
11E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.81,14.53508734703064
12A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,6.07,14.53508734703064
12B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.44,14.53508734703064
12C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.9,14.53508734703064
12D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.82,14.53508734703064
12E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,4.69,14.53508734703064
12F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.5,14.53508734703064
13A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.48,14.53508734703064
13B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,7.21,14.53508734703064
13C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.62,14.53508734703064
13D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,11.15,14.53508734703064
13E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,14.61,14.53508734703064
13F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.71,14.53508734703064
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.97,14.53508734703064
14B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,7.43,14.53508734703064
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.54,14.53508734703064
14D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,6.85,14.53508734703064
14E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.54,14.53508734703064
14F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.0,14.53508734703064
15B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,11.02,14.53508734703064
15C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,12.2,14.53508734703064
15D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,7.97,14.53508734703064
15E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.85,14.53508734703064
15F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.55,14.53508734703064
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.14,14.53508734703064
16B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,7.95,14.53508734703064
16C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.26,14.53508734703064
16D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.82,14.53508734703064
16E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.43,14.53508734703064
16F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.25,14.53508734703064
17A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.59,14.53508734703064
17C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.01,14.53508734703064
17E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.52,14.53508734703064
18A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.8,14.53508734703064
18C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.38,14.53508734703064
18D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.87,14.53508734703064
18E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.69,14.53508734703064
18F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.21,14.53508734703064
19D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.97,14.53508734703064
19E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.33,14.53508734703064
19F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.77,14.53508734703064
20A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.49,14.53508734703064
20B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,7.05,14.53508734703064
20C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.63,14.53508734703064
20E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.24,14.53508734703064
20F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,6.85,14.53508734703064
21A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.27,14.53508734703064
21B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.92,14.53508734703064
21D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,6.42,14.53508734703064
21E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.17,14.53508734703064
21F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,5.81,14.53508734703064
22C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.81,14.53508734703064
22D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.39,14.53508734703064
22E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.9,14.53508734703064
22F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.6,14.53508734703064
23A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.72,14.53508734703064
23B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,9.28,14.53508734703064
23C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.95,14.53508734703064
23D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.47,14.53508734703064
23E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.82,14.53508734703064
23F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.39,14.53508734703064
24A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,9.72,14.53508734703064
24B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,8.16,14.53508734703064
24C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,11.59,14.53508734703064
24D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,10.83,14.53508734703064
24E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,12.04,14.53508734703064
24F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,10.85,14.53508734703064
1A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,9.17,14.458372592926025
1B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,8.39,14.458372592926025
1C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,6.87,14.458372592926025
1D,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,10.31,14.458372592926025
1E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,7.38,14.458372592926025
2A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,8.1,14.458372592926025
2B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,10.02,14.458372592926025
2C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Trinca,9.17,14.458372592926025
2D,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,10.5,14.458372592926025
2E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,10.64,14.458372592926025
3A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,6.14,14.458372592926025
3C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,6.68,14.458372592926025
3D,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,9.3,14.458372592926025
