local,filename,path,falha,tamanho
1A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.23
1E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.28
2C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,9.62
3C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.37
3D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,9.97
4A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,9.69
5B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.09
6B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.08
6C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,11.91
6D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,13.09
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.22
8D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,12.26
9C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,8.93
11A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,11.75
12B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.1
12D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.12
13B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.23
13F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.21
15A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,12.79
16C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.14
16E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.16
17B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.09
19A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,10.99
19D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,8.96
20A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,10.18
20B,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Outros,0.12
21E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,6.8
22A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,1.57
22F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,13.3
24E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,11.4
